Description,country,commodity,fac_name,latitude,longitude,capacity,Ticker
Rio Tinto Alcan Inc.,Australia,Aluminum,Yarwun alumina refinery,-23.87,151.29,1400,RIO
"Boyne Smelters Ltd., operator",Australia,Aluminum,Boyne Island aluminum smelter,-23.93,151.34,550,#N/A
"Tomago Aluminum Co. Pty. Ltd., operator",Australia,Aluminum,Tomago aluminum smelter,-32.82,151.72,525,#N/A
"Alcoa of Australia, manager",Australia,Aluminum,Portland aluminum smelter,-38.38,141.63,345,AA
Alcoa of Australia,Australia,Aluminum,Point Henry aluminum smelter,-38.14,144.42,185,AA
Hydro Aluminum Kurri Kurri Pty. Ltd.,Australia,Aluminum,Kurri Kurri aluminum smelter,-32.79,151.48,165,#N/A
Rio Tinto Alcan Inc.,Australia,Aluminum,Bell Bay aluminum smelter,-41.13,146.87,160,RIO
BHP Billiton Ltd.,Australia,Coal: black,Goonyella-Riverside open pit coal mines,-21.74,147.98,16000,BBL
"Coal and Allied Industries Ltd., manager",Australia,Coal: black,"Hunter Valley Operations (Carrington Chestnut, Howick, Hunt Valley No. 1, Lemington, Riverview open pit coal mine)",-32.38,151.02,15000,#N/A
Xstrata plc.,Australia,Coal: black,Newlands-Collinsville-Abbot Point open pit/longwall coal mine,-21.23,147.91,15000,#N/A
BHP Billiton Ltd.,Australia,Coal: black,Mount Arthur open pit coal mine,-32.33,150.86,15000,BBL
"BHP Billiton Mitsubishi Alliance, manager",Australia,Coal: black,Blackwater open pit coal mine (includes South Blackwater),-23.77,148.84,14000,BBL
"Rio Tinto Ltd.,  manager",Australia,Coal: black,Blair Athol open pit coal mine,-22.7,147.55,13000,RIO
Coal and Allied Industries Ltd.,Australia,Coal: black,Mount Thorley open pit coal mine,-32.66,151.08,12000,#N/A
Anglo Coal Pty. Ltd.,Australia,Coal: black,Callide coal mine,-24.21,150.5,10700,#N/A
"Oakbridge Pty. Ltd., manager",Australia,Coal: black,Bulga open pit/longwall coal mine,-32.61,151.06,10000,#N/A
Xstrata plc,Australia,Coal: black,Oaky Creek longwall and Alliance open pit coal mine,-23.06,148.51,9500,#N/A
Idemitsu Kosan Co. Ltd.,Australia,Coal: black,Ensham-Yongala open pit coal mine,-23.46,148.49,9000,#N/A
Wesfarmers Ltd.,Australia,Coal: black,Curragh open pit coal mine,-23.21,148.32,9000,#N/A
"Illawarra Coal Holdings Pty. Ltd., operator",Australia,Coal: black,Appin longwall coal mine,-34.21,150.79,8800,#N/A
Rio Tinto Ltd.,Australia,Coal: black,Hail Creek open pit coal mine,-21.49,148.38,8000,RIO
Xstrata plc.,Australia,Coal: black,Rollestone open pit coal mine,-24.45,148.41,8000,#N/A
Xstrata plc.,Australia,Coal: black,Mount Owen open pit coal mine,-32.45,150.97,7700,#N/A
