Month,Price,Change,Commodity
21-Apr,"2,369.50",7.99%,Aluminum
21-Mar,"2,194.25",1.44%,Aluminum
21-Feb,"2,163.00",9.64%,Aluminum
21-Jan,"1,972.88",-1.51%,Aluminum
20-Dec,"2,003.12",-1.92%,Aluminum
20-Nov,"2,042.25",10.18%,Aluminum
20-Oct,"1,853.50",6.54%,Aluminum
20-Sep,"1,739.75",-1.79%,Aluminum
20-Aug,"1,771.50",4.67%,Aluminum
20-Jul,"1,692.50",6.20%,Aluminum
20-Jun,"1,593.75",4.56%,Aluminum
20-May,"1,524.25",3.16%,Aluminum
20-Apr,"1,477.50",-1.60%,Aluminum
20-Mar,"1,501.50",-10.94%,Aluminum
20-Feb,"1,686.00",-2.09%,Aluminum
20-Jan,"1,722.00",-3.76%,Aluminum
19-Dec,"1,789.25",0.52%,Aluminum
19-Nov,"1,780.00",1.05%,Aluminum
19-Oct,"1,761.50",3.16%,Aluminum
19-Sep,"1,707.50",-1.44%,Aluminum
19-Aug,"1,732.50",-2.79%,Aluminum
19-Jul,"1,782.25",0.00%,Aluminum
19-Jun,"1,782.25",0.27%,Aluminum
21-Apr,"1,626.00",-5.02%,Coal
21-Mar,"1,712.00",15.33%,Coal
21-Feb,"1,484.50",-17.53%,Coal
21-Jan,"1,800.00",19.96%,Coal
20-Dec,"1,500.50",1.21%,Coal
20-Nov,"1,482.50",11.09%,Coal
20-Oct,"1,334.50",1.44%,Coal
20-Sep,"1,315.50",7.13%,Coal
20-Aug,"1,228.00",-4.55%,Coal
20-Jul,"1,286.50",3.29%,Coal
20-Jun,"1,245.50",5.11%,Coal
20-May,"1,185.00",-4.01%,Coal
20-Apr,"1,234.50",-7.08%,Coal
20-Mar,"1,328.50",2.83%,Coal
20-Feb,"1,292.00",1.49%,Coal
20-Jan,"1,273.00",5.47%,Coal
19-Dec,"1,207.00",-8.49%,Coal
19-Nov,"1,319.00",1.77%,Coal
19-Oct,"1,296.00",-0.27%,Coal
19-Sep,"1,299.50",-8.45%,Coal
19-Aug,"1,419.50",-3.20%,Coal
19-Jul,"1,466.50",1.77%,Coal
19-Jun,"1,441.00",12.05%,Coal
21-Apr,"49,819.00",-,Cobalt
21-Mar,"50,069.00",0.01K,Cobalt
21-Feb,"51,953.00",0.02K,Cobalt
21-Jan,"41,243.00",0.00K,Cobalt
20-Dec,"32,031.80",0.02K,Cobalt
20-Nov,"32,041.00",0.00K,Cobalt
20-Oct,"32,538.00",0.00K,Cobalt
20-Sep,"33,967.50",0.00K,Cobalt
20-Aug,"33,042.50",0.00K,Cobalt
20-Jul,"29,000.00",0.04K,Cobalt
20-Jun,"28,481.00",0.02K,Cobalt
20-May,"29,652.00",0.01K,Cobalt
20-Apr,"29,637.00",0.04K,Cobalt
