Description,country,commodity,fac_name,latitude,longitude,capacity,symbol,Company_Type,Volume,Close,Date
Rio Tinto Alcan Inc.,Australia,Aluminum,Yarwun alumina refinery,-23.87,151.29,1400,RIO,Public,1835400.0,77.98,2021-04-01
Rio Tinto Alcan Inc.,Australia,Aluminum,Yarwun alumina refinery,-23.87,151.29,1400,RIO,Public,2219787.0,77.65,2021-03-31
Rio Tinto Alcan Inc.,Australia,Aluminum,Yarwun alumina refinery,-23.87,151.29,1400,RIO,Public,1926660.0,77.88,2021-03-30
Rio Tinto Alcan Inc.,Australia,Aluminum,Yarwun alumina refinery,-23.87,151.29,1400,RIO,Public,2210326.0,76.96,2021-03-29
Rio Tinto Alcan Inc.,Australia,Aluminum,Yarwun alumina refinery,-23.87,151.29,1400,RIO,Public,2468794.0,78.05,2021-03-26
Rio Tinto Alcan Inc.,Australia,Aluminum,Yarwun alumina refinery,-23.87,151.29,1400,RIO,Public,2267485.0,75.06,2021-03-25
Rio Tinto Alcan Inc.,Australia,Aluminum,Yarwun alumina refinery,-23.87,151.29,1400,RIO,Public,2664806.0,74.75,2021-03-24
Rio Tinto Alcan Inc.,Australia,Aluminum,Yarwun alumina refinery,-23.87,151.29,1400,RIO,Public,2725850.0,74.3,2021-03-23
Rio Tinto Alcan Inc.,Australia,Aluminum,Yarwun alumina refinery,-23.87,151.29,1400,RIO,Public,2158191.0,76.08,2021-03-22
Rio Tinto Alcan Inc.,Australia,Aluminum,Yarwun alumina refinery,-23.87,151.29,1400,RIO,Public,2758000.0,76.55,2021-03-19
Rio Tinto Alcan Inc.,Australia,Aluminum,Yarwun alumina refinery,-23.87,151.29,1400,RIO,Public,3110073.0,77.56,2021-03-18
Rio Tinto Alcan Inc.,Australia,Aluminum,Yarwun alumina refinery,-23.87,151.29,1400,RIO,Public,3793129.0,78.72,2021-03-17
Rio Tinto Alcan Inc.,Australia,Aluminum,Yarwun alumina refinery,-23.87,151.29,1400,RIO,Public,2250571.0,78.8,2021-03-16
Rio Tinto Alcan Inc.,Australia,Aluminum,Yarwun alumina refinery,-23.87,151.29,1400,RIO,Public,3849863.0,79.58,2021-03-15
Rio Tinto Alcan Inc.,Australia,Aluminum,Yarwun alumina refinery,-23.87,151.29,1400,RIO,Public,1780100.0,81.27,2021-03-12
Rio Tinto Alcan Inc.,Australia,Aluminum,Yarwun alumina refinery,-23.87,151.29,1400,RIO,Public,2729100.0,82.5,2021-03-11
